Wavelength,n,k
 1470, 1.725751, 0.063106
 1471, 1.725713, 0.063058
 1472, 1.725674, 0.063009
 1473, 1.725636, 0.06296
 1474, 1.725598,0.062912
 1475, 1.72556, 0.062863
 1476,1.725522, 0.062815
 1477, 1.725484, 0.062767
 1478, 1.725446, 0.062719
 1479, 1.725408, 0.062671
 1480, 1.725371, 0.062623
 1481, 1.725333, 0.062575
 1482, 1.725295, 0.062527
 1483, 1.725258, 0.062479
 1484, 1.725221, 0.062431
 1485, 1.725183, 0.062384
 1486, 1.725146, 0.062336
 1487, 1.725109, 0.062289
 1488, 1.725072, 0.062241
 1489, 1.725035, 0.062194
 1490, 1.724998, 0.062147
 1491, 1.724961, 0.0621
 1492, 1.724924, 0.062052
 1493, 1.724888, 0.062005
 1494, 1.724851, 0.061958
 1495, 1.724815, 0.061912
 1496, 1.724778, 0.061865
 1497, 1.724742, 0.061818
 1498, 1.724705, 0.061771
 1499, 1.724669, 0.061725
 1500, 1.724633, 0.061678
 1501, 1.724597, 0.061632
 1502, 1.724561, 0.061585
 1503, 1.724525, 0.061539
 1504, 1.724489, 0.061493
 1505, 1.724453, 0.061447
 1506, 1.724418, 0.061401
 1507, 1.724382, 0.061355
 1508, 1.724346, 0.061309
 1509, 1.724311, 0.061263
 1510, 1.724275, 0.061217
 1511, 1.72424, 0.061171
 1512,1.724205, 0.061126
 1513, 1.72417, 0.06108
 1514,1.724134,0.061035
 1515, 1.724099, 0.060989
 1516, 1.724064, 0.060944
 1517, 1.724029, 0.060899
 1518, 1.723995, 0.060853
 1519, 1.72396, 0.060808
 1520,1.723925, 0.060763
 1521, 1.723891, 0.060718
 1522, 1.723856, 0.060673
 1523, 1.723821, 0.060628
 1524, 1.723787, 0.060584
 1525, 1.723753, 0.060539
 1526, 1.723718, 0.060494
 1527, 1.723684, 0.06045
 1528, 1.72365,0.060405
 1529,1.723616, 0.060361
 1530, 1.723582, 0.060316
 1531, 1.723548, 0.060272
 1532, 1.723514, 0.060228
 1533, 1.72348, 0.060183
 1534,1.723446, 0.060139
 1535, 1.723413, 0.060095
 1536, 1.723379, 0.060051
 1537, 1.723346, 0.060007
 1538, 1.723312, 0.059964
 1539, 1.723279, 0.05992
 1540, 1.723245,0.059876
 1541, 1.723212, 0.059832
 1542, 1.723179, 0.059789
 1543, 1.723146, 0.059745
 1544, 1.723113, 0.059702
 1545, 1.72308, 0.059659
 1546,1.723047, 0.059615
 1547, 1.723014, 0.059572
 1548, 1.722981, 0.059529
 1549, 1.722948, 0.059486
 1550, 1.722916, 0.059443
 1551, 1.722883, 0.0594
 1552, 1.72285, 0.059357
 1553,1.722818, 0.059314
 1554, 1.722785, 0.059271
 1555, 1.722753, 0.059228
 1556, 1.722721, 0.059186
 1557, 1.722689, 0.059143
 1558, 1.722656, 0.0591
 1559, 1.722624, 0.059058
 1560, 1.722592, 0.059016
 1561, 1.72256, 0.058973
 1562,1.722528, 0.058931
 1563, 1.722497, 0.058889
 1564, 1.722465, 0.058847
 1565, 1.722433, 0.058805
 1566, 1.722401, 0.058762
 1567, 1.72237, 0.058721
 1568,1.722338, 0.058679
 1569, 1.722307, 0.058637
 1570, 1.722275, 0.058595
 1571, 1.722244, 0.058553
 1572, 1.722213, 0.058512
 1573, 1.722181, 0.05847
 1574, 1.72215,0.058428
 1575,1.722119, 0.058387
 1576, 1.722088, 0.058346
 1577, 1.722057, 0.058304
 1578, 1.722026, 0.058263
 1579, 1.721995, 0.058222
 1580, 1.721964, 0.058181
 1581, 1.721934, 0.058139
 1582, 1.721903, 0.058098
 1583, 1.721872, 0.058057
 1584, 1.721842, 0.058016
 1585, 1.721811, 0.057976
 1586, 1.721781, 0.057935
 1587, 1.72175, 0.057894
 1588,1.72172, 0.057853
 1589,1.72169, 0.057813
 1590,1.72166, 0.057772
 1591,1.72163, 0.057732
 1592,1.721599, 0.057691
 1593, 1.721569, 0.057651
 1594, 1.721539, 0.057611
 1595, 1.721509, 0.05757
 1596, 1.72148,0.05753
 1597,1.72145,0.05749
 1598,1.72142,0.05745
 1599,1.72139,0.05741
 1600,1.721361,0.05737
 1601, 1.721331,0.05733
 1602, 1.721302,0.05729
 1603, 1.721272,0.05725
 1604, 1.721243,0.05721
 1605, 1.721213,0.057171
 1606, 1.721184, 0.057131
 1607, 1.721155, 0.057092
 1608, 1.721126, 0.057052
 1609, 1.721096, 0.057013
 1610, 1.721067, 0.056973
 1611, 1.721038, 0.056934
 1612, 1.721009, 0.056895
 1613, 1.72098, 0.056855
 1614,1.720952, 0.056816
 1615, 1.720923, 0.056777
 1616, 1.720894, 0.056738
 1617, 1.720865, 0.056699
 1618, 1.720837, 0.05666
 1619, 1.720808,0.056621
 1620, 1.72078, 0.056582
 1621,1.720751, 0.056543
 1622, 1.720723, 0.056505
 1623, 1.720694, 0.056466
 1624, 1.720666, 0.056427
 1625, 1.720638, 0.056389
 1626, 1.720609, 0.05635
 1627, 1.720581,0.056312
 1628, 1.720553, 0.056273
 1629, 1.720525, 0.056235
 1630, 1.720497, 0.056197
