Wavelength,n,k
687,1.7010885, 0.005438
688,1.700892, 0.0054625
689, 1.700696,0.0054865
690, 1.7005,0.005511
691, 1.7003055, 0.005535
692,1.7001115, 0.00556
693,1.6999185,0.005585
694,1.6997255, 0.0056095
695,1.6995335,0.005634
696,1.699342, 0.005659
697, 1.699152, 0.005684
698, 1.698962, 0.005709
699, 1.6987725, 0.0057335
700,1.698584,0.005759
701, 1.698396, 0.0057845
702, 1.698209,0.0058095
703, 1.698022,0.005835
704, 1.697836, 0.0058605
705, 1.697651,0.005886
706, 1.6974665, 0.005911
707,1.6972825, 0.0059365
708,1.6970985,0.0059625
709,1.6969155,0.005988
710,1.6967335, 0.0060145
711,1.696552,0.00604
712, 1.696371,0.006066
713, 1.69619, 0.006092
714,1.69601, 0.0061185
715,1.695831,0.0061445
716, 1.6956525,0.006171
717,1.695474, 0.006197
718, 1.6952965, 0.006224
719,1.6951195, 0.0062505
720,1.694943,0.0062765
721, 1.694767,0.0063035
722, 1.6945915,0.00633
723,1.6944165,0.006357
724,1.6942425, 0.006384
725,1.6940685, 0.006411
726,1.6938955, 0.006438
727,1.6937225, 0.006465
728,1.6935505, 0.006492
729,1.6933785, 0.0065195
730,1.6932075,0.006547
731,1.693037, 0.006574
732, 1.6928665, 0.006602
733,1.692697, 0.006629
734, 1.692528, 0.006657
735, 1.692359, 0.006685
736, 1.692191, 0.0067125
737, 1.692023,0.0067405
738, 1.6918555,0.0067685
739,1.6916885,0.0067965
740,1.6915225,0.0068245
741,1.6913565,0.0068525
742,1.6911915,0.006881
743,1.6910265, 0.006909
744,1.690862, 0.006938
745, 1.690698, 0.0069665
746, 1.690534,0.0069945
747, 1.6903705,0.0070235
748,1.6902085,0.007052
749,1.6900455, 0.007081
750,1.689884, 0.0071095
751, 1.6897225,0.007139
752,1.6895615, 0.007168
753,1.6894005, 0.007197
754,1.6892405, 0.007226
755,1.689081, 0.007255
756, 1.6889215, 0.0072845
757,1.6887625,0.007314
758,1.688604, 0.007344
759, 1.688446, 0.0073735
760, 1.688288,0.007403
761, 1.6881305, 0.0074325
762,1.6879735,0.0074625
763,1.687817,0.0074925
764, 1.6876605,0.0075225
765,1.687505,0.0075525
766, 1.6873495,0.0075825
767,1.6871945,0.007613
768,1.6870395, 0.0076435
769,1.686885,0.0076735
770, 1.6867315,0.007704
771,1.6865775, 0.0077345
772,1.686425,0.007765
773, 1.6862715, 0.0077955
774,1.686119,0.007827
775, 1.685967, 0.0078575
776, 1.685815,0.0078885
777, 1.685664,0.0079195
778, 1.6855125,0.0079505
779,1.6853615,0.007982
780,1.685211, 0.008013
781, 1.685061, 0.0080445
782, 1.684911,0.0080755
783, 1.6847615,0.008107
784,1.6846125, 0.008139
785,1.6844635, 0.0081705
786,1.684315,0.0082025
787, 1.684167,0.008234
788, 1.684019, 0.008266
789, 1.683871, 0.008298
790, 1.6837245, 0.0083305
791,1.683577,0.0083625
792, 1.6834305,0.0083945
793,1.683284,0.008427
794, 1.683138, 0.0084595
795, 1.6829925,0.008492
796,1.682847, 0.0085245
797, 1.682702,0.008557
798, 1.682557, 0.00859
799, 1.6824125,0.008623
800,1.6822685, 0.0086555
801,1.682124,0.0086885
802, 1.6819805,0.008722
803,1.681837, 0.008755
804, 1.681694, 0.008788
805, 1.681551, 0.0088215
806, 1.6814085,0.008855
807,1.6812665, 0.008888
808,1.681124, 0.008922
809, 1.680982, 0.0089555
810, 1.6808405,0.0089895
811,1.6806995,0.0090235
812,1.6805585,0.0090575
813,1.680418,0.009091
814, 1.680277, 0.009125
815, 1.680137, 0.0091595
816, 1.679997,0.0091935
817, 1.6798575,0.009228
818,1.679718, 0.009263
819, 1.6795785, 0.009297
820,1.67944, 0.0093315
821,1.679301,0.0093665
822, 1.6791625,0.009401
823,1.679024, 0.009436
824, 1.678886, 0.009471
825, 1.6787485, 0.009506
826,1.6786105, 0.0095415
827,1.6784735,0.0095765
828,1.6783365,0.0096115
829,1.6781995,0.009647
830,1.6780625, 0.0096825
831,1.6779265,0.0097185
832,1.6777905,0.009754
833,1.6776545, 0.0097895
834,1.6775185,0.009825
835,1.677383, 0.0098615
836, 1.6772475,0.009897
837,1.6771125, 0.0099335
838,1.676978,0.0099695
839, 1.676843,0.0100055
840, 1.6767085,0.010042
841,1.6765745, 0.0100785
842,1.6764405,0.0101145
843,1.6763065,0.0101515
844,1.6761725,0.0101885
845,1.676039,0.010225
846, 1.675906, 0.010262
847, 1.675773, 0.010299
848, 1.6756405, 0.0103355
849,1.6755075,0.010373
850,1.675375, 0.01041
851, 1.675243,0.0104475
852, 1.6751105,0.0104855
853,1.674979,0.0105225
854, 1.674847,0.01056
855, 1.6747155,0.010598
856,1.6745845, 0.0106355
857,1.674453,0.0106735
858, 1.6743225,0.0107115
859,1.6741915,0.0107495
860,1.674061,0.0107875
861, 1.6739305,0.010826
862,1.6738, 0.010864
863, 1.67367, 0.010902
864,1.67354, 0.010941
865,1.6734105, 0.0109795
866,1.673281,0.011018
867, 1.673152, 0.011057
868, 1.6730225, 0.011096
869,1.6728935, 0.011135
870,1.6727645, 0.011174
871,1.672636, 0.011213
872, 1.6725075, 0.011252
873,1.672379, 0.0112915
874, 1.6722505,0.0113305
875,1.6721225,0.0113705
876,1.6719945,0.01141
877,1.6718665,0.0114495
878,1.671739,0.011489
879, 1.6716115, 0.011529
880,1.6714845, 0.0115695
881,1.671357,0.011609
882, 1.6712305, 0.011649
883,1.6711035, 0.0116895
884,1.670977,0.0117295
885, 1.6708505,0.01177
886,1.670724,0.011811
887, 1.6705975, 0.0118515
888,1.6704715,0.011892
889,1.6703455, 0.011933
890,1.6702195, 0.0119735
891,1.670094,0.012015
892, 1.669968, 0.0120555
893, 1.669843,0.012097
894, 1.6697175, 0.012138
895,1.6695925, 0.0121795
896,1.6694675,0.012221
897,1.669343, 0.0122625
898, 1.669218,0.012304
899, 1.6690935, 0.0123455
900,1.668969,0.0123875
901, 1.668845,0.0124295
902, 1.6687205,0.0124715
903,1.6685965,0.012514
904,1.6684725, 0.0125555
905,1.6683485,0.012598
906,1.6682245, 0.0126405
907,1.668101,0.012683
908, 1.6679775, 0.0127255
909,1.6678545,0.012768
910,1.667731, 0.012811
911, 1.667608, 0.012854
912, 1.667485, 0.012897
913, 1.667362, 0.01294
914, 1.6672395,0.012983
915,1.6671165, 0.0130265
916,1.6669945,0.0130695
917,1.6668715,0.013113
918,1.6667495, 0.013157
919,1.666627, 0.0132005
920, 1.666505,0.013244
921, 1.6663835, 0.0132875
922,1.6662615,0.0133315
923,1.6661395,0.0133755
924,1.666018,0.01342
925, 1.6658965,0.013464
926,1.665775, 0.0135085
927, 1.665654,0.013553
928, 1.6655325, 0.0135975
929,1.6654115,0.013642
930,1.66529, 0.0136865
931,1.6651695,0.0137315
932,1.6650485,0.0137765
933,1.664928,0.0138215
934, 1.6648075,0.0138665
935,1.664687,0.0139115
936, 1.6645665,0.013957
937,1.664446, 0.0140025
938, 1.6643255,0.014048
939,1.6642055, 0.0140935
940,1.6640855,0.0141395
941,1.6639655,0.014185
942,1.6638455, 0.014231
943,1.663726, 0.0142765
944, 1.6636065,0.014323
945,1.663487, 0.014369
946, 1.663367, 0.0144155
947, 1.6632475,0.014462
948,1.663128, 0.014508
949, 1.663009, 0.014555
950, 1.66289, 0.0146015
951,1.662771,0.0146485
952, 1.6626515,0.0146955
953,1.662533,0.014742
954, 1.662414, 0.0147895
955, 1.6622955,0.014837
956,1.6621765, 0.0148835
957,1.662058,0.014931
958, 1.66194, 0.0149785
959,1.661821,0.015026
960, 1.6617025, 0.015074
961,1.6615845, 0.015122
962,1.6614665, 0.01517
963,1.661348,0.0152175
964, 1.66123,0.015266
965,1.661112, 0.015314
966, 1.6609945, 0.0153625
967,1.6608765,0.015411
968,1.6607585, 0.0154595
969,1.660641,0.015508
970, 1.6605235, 0.015557
971,1.6604055, 0.015606
972,1.6602885, 0.0156545
973,1.660171,0.0157035
974, 1.6600535,0.0157525
975,1.6599365,0.015802
976,1.6598195, 0.015851
977,1.659702, 0.015901
978, 1.659585, 0.01595
979, 1.659468,0.016
980, 1.659351,0.0160495
981, 1.6592345,0.0160995
982,1.6591175,0.0161495
983,1.6590005,0.0161995
984,1.658884,0.0162495
985, 1.6587675,0.0163
986,1.658651, 0.0163505
987, 1.6585345,0.0164005
988,1.658418,0.0164515
989, 1.658302,0.016502
990, 1.6581855, 0.016553
991,1.6580695, 0.016604
992,1.657953, 0.016655
993, 1.657837, 0.016706
994, 1.6577205, 0.016757
995,1.657605, 0.0168085
996, 1.6574885,0.01686
997,1.657373,0.0169115
998, 1.657257,0.016963
